"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Batam Page Tests: Search and select Moro","1","0","","0"
"0","","0","Batam Page Tests: Select Pilih Penumpang","1","0","","0"
"0","","0","Tanjung Pinang Page Tests: Edit Pelayaran","7","0","","0"
"0","","0","Tanjung Pinang Page Tests: Select Pilih Penumpang","1","0","","0"
"0","","0","Tanjung Pinang Page Tests: Scroll and search pelayaran","1","0","","0"
"0","","0","Tanjung Pinang Page Tests: Select Tanjung Pinang and take a screenshot","1","0","","0"
"0","","0","Batam Page Tests: Edit Pelayaran","7","0","","0"
"0","","0","Batam Page Tests: Scroll and search pelayaran","1","0","","0"
"0","","0","Batam Page Tests: Select Batam and take a screenshot","1","0","","0"
"0","","0","Tanjung Pinang Page Tests: Pilih tanggal","1","0","","0"
"0","","0","Tanjung Pinang Page Tests: Search and select Tanjung Pinang","1","0","","0"
"0","","0","Tanjung Pinang Page Tests: Search and select Galang","1","0","","0"
"0","","0","Batam Page Tests: Search and select Sekupang","1","0","","0"
"0","","0","Batam Page Tests: Pilih tanggal","1","0","","0"
